time,weather,probe
2018-06-20 10:51,61.75,62.49
2018-06-20 11:21,64.27,63.50
2018-06-20 11:51,64.63,64.74
2018-06-20 12:21,66.79,66.20
2018-06-20 12:52,68.11,67.89
2018-06-20 13:22,69.55,69.91
2018-06-20 13:52,69.66,72.16
2018-06-20 14:22,70.36,74.19
2018-06-20 14:52,71.2,75.99
2018-06-20 15:22,71.71,78.12
2018-06-20 15:52,71.46,80.15
2018-06-20 16:22,73.04,81.72
2018-06-20 16:52,73.06,82.51
2018-06-20 17:22,70.39,82.40
2018-06-20 17:52,70.14,81.95
2018-06-20 18:22,69.78,81.61
2018-06-20 18:52,68.23,83.30
2018-06-20 19:22,64.65,84.20
2018-06-20 19:52,65.03,83.97
2018-06-20 20:22,62.47,82.06
2018-06-20 20:52,61.77,79.81
2018-06-20 21:22,58.87,77.68
2018-06-20 21:52,58.64,75.65
2018-06-20 22:22,57.69,73.85
2018-06-20 22:52,57.34,72.16
2018-06-20 23:22,56.17,70.70
2018-06-20 23:52,56.25,69.24
2018-06-21 00:22,55.54,68.00
2018-06-21 00:52,55.27,66.65
2018-06-21 01:22,54.84,65.41
2018-06-21 01:53,54.86,64.29
2018-06-21 02:23,54.28,63.39
2018-06-21 02:53,54.16,62.60
2018-06-21 03:23,53.73,61.81
2018-06-21 03:53,53.74,61.03
2018-06-21 04:23,53.73,60.35
2018-06-21 04:53,53.62,59.67
2018-06-21 05:23,53.1,59.11
2018-06-21 05:53,52.72,58.55
2018-06-21 06:23,52.45,57.99
2018-06-21 06:53,52.3,57.65
2018-06-21 07:23,53.71,57.54
2018-06-21 07:53,54.57,57.65
2018-06-21 08:23,55.87,57.99
2018-06-21 08:53,56.68,58.55
2018-06-21 09:23,58.51,59.23
2018-06-21 09:53,60.01,60.12
2018-06-21 10:23,62.6,61.14
2018-06-21 10:53,64.27,62.15
2018-06-21 11:23,64.98,63.50
2018-06-21 11:53,67.03,64.85
2018-06-21 12:23,70.16,66.54
2018-06-21 12:53,70.41,68.34
2018-06-21 13:23,73.27,70.81
2018-06-21 13:53,73.62,73.40
2018-06-21 14:23,75.18,75.76
2018-06-21 14:53,75.4,78.01
2018-06-21 15:24,77.09,80.60
2018-06-21 15:54,77.41,82.96
2018-06-21 16:24,78.44,85.10
2018-06-21 16:54,78.55,86.22
2018-06-21 17:24,78.22,86.79
2018-06-21 17:54,77.56,87.12
2018-06-21 18:24,75.87,87.69
2018-06-21 18:54,75.42,89.94
2018-06-21 19:24,73.72,91.40
2018-06-21 19:51,91.4,91.74
2018-06-21 20:53,82.4,88.47
